ID,Artista
587,Side Baby
588,Mondo Marcio
589,FUCKYOURCLIQUE
590,FSK SATELLITE
591,naSka
592,Modena City Ramblers
593,Colapesce & Dimartino
594,Gianmaria
595,Mahmood & Blanco
596,Cannella
597,Lesley Roy
598,Pupo
599,Domenico Modugno
600,Alex Britti
601,Amedeo Minghi
602,Sunstroke project
603,Madame Monsieur
604,Sebalter
605,Antonio Maggio
606,Pop X
607,Dark Polo Gang
608,Tony Boy
609,Baby Gang
610,Slings
611,tha Supreme
612,MamboLosco
613,DrefGold
614,Rondodasosa
615,Silent Bob
616,Neima Ezza
617,chiello
618,Papa V
619,Nerissima Serpe
620,Bello FiGo
621,Anka
622,Tutti fenomeni
623,Galeffi
624,Giuse The Lizia
625,Wincent Weiss
626,СЕРГЕЙ ЛАЗАРЕВ
627,M. Pokora
628,Tim Schou
629,Toto Cutugno
630,Pablo Alborán
631,Llunr
632,Jorge Blanco
633,Al Bano
634,Harshmxjb
635,Mostro
636,Diss Gacha
637,Lele Blade
638,Ntò
639,Co'Sang
640,Pyrex
641,Clementino
642,Ivan Granatino
643,Morad
644,Jamil
645,Léa Paci
646,Léon
647,Nu Genea
648,Quercia
649,Franco Califano
650,Windows95Man
651,Hera Björk
652,"Alyona Alyona, Jerry Heil"
653,Ladaniva
654,alyona alyona & Jerry Heil
655,Olly Alexander
656,"5MIINUST, Puuluup"
657,"Fahree, İlkin Dovletov"
658,FRÖKEN SNUSK
659,Almacor
660,We Are Domi
661,Bashar Murad
662,Lisa Ajax
663,Emmelie de Forest
664,Ryk
665,Ivi Adamou
666,Teya & Salena
667,Klara Hammarström
668,Roxen
669,Tamta
670,Poli Genova
671,Luca Hänni
672,Subwoolfer
673,Michela
674,Justyna Steczkowska
675,Athena Manoukian
676,Charlotte Perrelli
677,Mimicat
678,Sanna Nielsen
679,Aminata
680,Aisel
681,Danny Saucedo
682,Eric Saade
683,Iveta Mukuchyan
684,Wiktoria
685,Dami Im
686,Teya
687,Joost Klein
688,Helena Paparizou
689,Medina
690,Conchita Wurst
691,Ella A
692,Ronela Hajati
693,Sega Bodega
694,Beatrice Quinta
695,Bruno Lauzi
696,Maria Antonietta
697,BIGMAMA
698,"M¥SS KETA, Guè"
