ID,Nome,Ascoltatori,Ascolti,Popolarità,PopolaritàLog,ZIndex
23939,Naked Eyes,467849,3987062,8.52209,2.25361,-0.66096
23940,Haircut 100,192633,1281279,6.65136,2.03488,-0.98075
23941,Champaign,71296,272902,3.82767,1.57436,-1.65405
23942,Blue Magic,94884,559380,5.89534,1.93084,-1.13286
23943,The Manhattans,206845,1356676,6.55886,2.02272,-0.99853
23944,Cameo,590020,3626369,6.14616,1.96657,-1.08063
23945,One Way,109843,550881,5.01512,1.79427,-1.33253
23946,Ready For The World,134757,645215,4.78795,1.75577,-1.38882
23947,Con Funk Shun,161332,1090528,6.75948,2.04891,-0.96024
23948,Dazz Band,221372,1093919,4.94151,1.78196,-1.35053
23949,General Public,117949,737788,6.25509,1.9817,-1.05851
23950,The English Beat,214032,2421501,11.31368,2.51071,-0.28508
23951,Tommy Tutone,269529,1345483,4.99196,1.79041,-1.33818
23952,The Romantics,726435,5385104,7.41304,2.12978,-0.84201
23953,The Power Station,151937,925519,6.09142,1.95888,-1.09187
23954,Split Enz,185392,2628929,14.1803,2.71999,0.02089
23955,The Smithereens,148310,1427339,9.62395,2.36311,-0.50087
23956,The Alarm,120693,1099707,9.11152,2.31367,-0.57316
23957,Concrete Blonde,252124,3300131,13.08926,2.64541,-0.08814
23958,Marshall Crenshaw,85708,896355,10.45811,2.43869,-0.39037
23959,Greg Kihn Band,67992,422746,6.21749,1.9765,-1.06611
23960,Night Ranger,408885,3216772,7.86716,2.18235,-0.76515
23961,Lou Gramm,95576,591664,6.19044,1.97275,-1.07159
23962,Bad English,242294,1593737,6.57767,2.0252,-0.99491
23963,Benjamin Orr,24345,189978,7.80325,2.17512,-0.77572
23964,.38 Special,358106,3109592,8.68341,2.27041,-0.6364
23965,Boston,1873130,24271677,12.95781,2.63603,-0.10185
23966,Poison,1066521,13724947,12.86888,2.62964,-0.1112
23967,Def Leppard,1610917,36119838,22.42189,3.15367,0.65494
23968,Aldo Nova,82722,627509,7.58566,2.15009,-0.81231
23969,Damn Yankees,202920,1606105,7.91492,2.18772,-0.7573
23970,Sammy Hagar,356913,3000396,8.40649,2.24139,-0.67883
23971,Styx,1242061,15669736,12.6159,2.61123,-0.13811
23972,Lita Ford,283278,2495933,8.81086,2.28348,-0.61729
23973,Van Halen,2644048,65289213,24.69289,3.24621,0.79024
23974,Steve Miller Band,1586819,19375215,12.21008,2.58098,-0.18234
23975,Tesla,393519,5293676,13.45211,2.67084,-0.05096
23976,Triumph,233980,2295909,9.81237,2.38069,-0.47517
23977,Great White,310187,3125843,10.07725,2.40489,-0.43979
23978,Quiet Riot,775464,7139539,9.20678,2.32305,-0.55944
23979,Cheap Trick,1219731,13906177,11.40101,2.51777,-0.27475
23980,Bachman-Turner Overdrive,675206,5226578,7.7407,2.16799,-0.78614
23981,Ratt,563084,7912675,14.05236,2.71153,0.00852
23982,David Lee Roth,381525,3449411,9.04109,2.30668,-0.58337
23983,Midnight Star,146394,867518,5.92587,1.93526,-1.1264
23984,Big Country,295047,3262417,11.05724,2.48966,-0.31585
23985,Big Audio Dynamite,198679,1719326,8.65374,2.26734,-0.64089
23986,Violent Femmes,1413069,23174305,16.39996,2.85646,0.22041
23987,Marcella Detroit,12573,94876,7.54541,2.14539,-0.81919
23988,Jesus Jones,196675,1400110,7.11886,2.09418,-0.89406
23989,Then Jerico,24497,182204,7.4375,2.13268,-0.83777
23990,The Housemartins,348088,3997208,11.48329,2.52439,-0.26508
23991,Danny Wilson,87452,474788,5.42906,1.86082,-1.23524
23992,Fairground Attraction,143349,929646,6.48514,2.01291,-1.01288
23993,Hue & Cry,15527,114730,7.38858,2.12687,-0.84626
23994,Amy Holland,51480,348372,6.767,2.04988,-0.95882
23995,E.G. Daily,46627,272046,5.83439,1.92196,-1.14585
23996,Hazel O'Connor,55695,367599,6.60009,2.02816,-0.99058
23997,"Eurythmics, Annie Lennox, Dave Stewart",37021,206370,5.57425,1.88316,-1.20257
23998,Chrissie Hynde,58892,340079,5.77452,1.91316,-1.15871
23999,Nick Lowe,330871,4164169,12.58543,2.60899,-0.14139
24000,World Party,181895,1596594,8.77751,2.28008,-0.62226
24001,Graham Parker,72960,716771,9.82402,2.38176,-0.47361
24002,Re-Flex,70673,369717,5.2313,1.82958,-1.28091
24003,The Dream Academy,250949,1933603,7.70513,2.16391,-0.79211
24004,Fun Boy Three,170737,1197653,7.01456,2.08125,-0.91296
24005,Flash and the Pan,121564,832488,6.84808,2.06026,-0.94365
24006,Madness,1156050,20073712,17.36403,2.91039,0.29926
24007,Midge Ure,283854,2772747,9.76818,2.37659,-0.48116
24008,Sigue Sigue Sputnik,127017,947802,7.46195,2.13557,-0.83354
24009,Anything Box,43738,432189,9.88109,2.38702,-0.46592
24010,Kon Kan,49558,299275,6.03876,1.95143,-1.10276
24011,Mesh,183564,4254549,23.17734,3.18541,0.70135
24012,Andy Bell,100411,779874,7.76674,2.17096,-0.7818
24013,Apoptygma Berzerk,279686,10392701,37.15832,3.64174,1.36851
24014,Cause & Effect,21883,287084,13.11844,2.64748,-0.08511
24015,Boytronic,72268,607115,8.40076,2.24079,-0.67971
24016,Red Flag,57648,662939,11.49957,2.52569,-0.26318
24017,Hothouse Flowers,88337,787669,8.91653,2.2942,-0.60162
24018,Jesus Loves You,18386,100236,5.45146,1.8643,-1.23015
24019,Nick Heyward,41072,300917,7.32639,2.11942,-0.85715
24020,The Korgis,118807,724699,6.09974,1.96005,-1.09016
24021,Maxi Priest,226787,1207979,5.32646,1.84474,-1.25875
24022,Pablo Cruise,87349,522563,5.9824,1.94339,-1.11452
24023,Robbie Dupree,147515,894432,6.06328,1.9549,-1.09769
24024,Paul Davis,112896,759857,6.73053,2.04517,-0.96571
24025,Larry Greene,46803,183040,3.91077,1.59143,-1.62909
24026,Pages,61995,563389,9.0875,2.31129,-0.57663
24027,Harold Faltermeyer,404564,2865879,7.08385,2.08986,-0.90037
24028,Gino Vannelli,157413,1353929,8.60107,2.26187,-0.64889
24029,Robbie Nevil,89570,406988,4.54374,1.71266,-1.45185
24030,The Beat,265822,2300201,8.65313,2.26728,-0.64098
24031,Chesney Hawkes,132078,704258,5.33209,1.84563,-1.25744
24032,The Pasadenas,59796,246497,4.12223,1.63358,-1.56747
24033,Gold,63777,633647,9.93519,2.39198,-0.45866
24034,The Silencers,35828,286329,7.99154,2.19628,-0.74478
24035,Pierre Bachelet,70063,582158,8.30894,2.23097,-0.69407
24036,Pretty Poison,39461,179101,4.53856,1.71173,-1.45321
24037,Debbie Deb,81825,393242,4.80583,1.75886,-1.3843
24038,Company B,42949,224394,5.22454,1.82849,-1.2825
24039,Brenda K. Starr,25531,139534,5.46506,1.86641,-1.22706
24040,Cynthia,33332,191613,5.74844,1.90931,-1.16434
24041,Stevie B,121488,795887,6.5511,2.02169,-1.00004
24042,Trinere,28201,134964,4.78561,1.75537,-1.38941
24043,Lil Suzy,62330,424425,6.80921,2.0553,-0.9509
24044,Alisha,38347,238933,6.23065,1.97832,-1.06345
24045,Mondo Rock,26811,228831,8.53464,2.25493,-0.65903
24046,Models,25917,217451,8.38996,2.23964,-0.68139
24047,Sunnyboys,27786,257974,9.28398,2.33058,-0.54843
24048,Midnight Oil,663553,8791749,13.24948,2.65672,-0.07161
24049,Eurogliders,20199,128533,6.36301,1.99646,-1.03693
24050,The Cruel Sea,54737,577872,10.55705,2.44729,-0.3778
24051,Baby Animals,19336,222241,11.49304,2.52517,-0.26394
24052,Flowers,35617,311749,8.75256,2.27752,-0.62601
24053,GANGgajang,30252,238686,7.88966,2.18488,-0.76145
24054,Daddy Cool,46097,313570,6.80224,2.05441,-0.9522
24055,Pseudo Echo,64551,453165,7.02015,2.08195,-0.91194
24056,Mi-Sex,18573,162054,8.72477,2.27467,-0.63017
24057,Spiderbait,393406,4555790,11.58034,2.53213,-0.25376
24058,Ratcat,12583,133452,10.60489,2.45142,-0.37176
24059,Ian Moss,18623,165189,8.86968,2.28946,-0.60855
