ID,Nome,Ascoltatori,Ascolti,Popolarità,PopolaritàLog
9525,Andrés Calamaro,407007,14080041,34.59401,3.57217
9526,Fito Páez,198243,5113488,25.79391,3.28817
9527,Seguridad Social,77105,533882,6.924,2.06989
9528,Alaska y Los Pegamoides,43784,482366,11.01669,2.48629
9529,La Guardia,54093,340095,6.28711,1.9861
9530,The Sacados,29505,204758,6.93953,2.07185
9531,Fito & Fitipaldis,132025,2713061,20.54944,3.07034
9532,Dover,157255,3744728,23.81294,3.21136
9533,Mala Rodríguez,154750,2668867,17.2462,2.90395
9534,El último de la fila,79559,1082251,13.60295,2.68122
9535,Tequila,68399,441663,6.45706,2.00916
9536,Allison,83178,1357103,16.31545,2.85159
9537,María León,8406,81337,9.67491,2.36789
9538,Rocio Durcal,37798,342801,9.06904,2.30946
9539,Esteman,144182,2741323,19.0128,2.99637
9540,La Ley,206833,3245295,15.69033,2.81482
9541,Francisca Valenzuela,98373,2610599,26.53748,3.31554
9542,Supernova,83604,787865,9.42365,2.34407
9543,Beto Cuevas,35072,309224,8.81658,2.28407
9544,Celtas Cortos,96396,1440583,14.94427,2.76909
9545,Los Ronaldos,55500,436664,7.86767,2.18241
9546,Pignoise,66158,1066828,16.12521,2.84055
9547,Extremoduro,154500,9378973,60.70493,4.12236
9548,Supersubmarina,67707,2768237,40.88493,3.73492
9549,Sidecars,31815,579186,18.20423,2.95513
9550,Los Delinqüentes,130270,1866901,14.3309,2.72987
9551,Shinova,11441,409717,35.80816,3.60571
9552,Antonio Vega,69841,814706,11.66498,2.53884
9553,Los Piratas,122358,2616549,21.38419,3.10835
9554,La Fuga,75249,2289070,30.41953,3.44742
9555,Vicente Fernández,352921,7062093,20.01035,3.04501
9556,Antonio Aguilar,114887,1276776,11.11322,2.49429
9557,Pedro Infante,176305,2053914,11.64971,2.53763
9558,Javier Solís,113448,1394268,12.28982,2.58699
9559,José Alfredo Jiménez,82145,815169,9.92341,2.3909
9560,Pesado,83933,1137944,13.5576,2.67811
9561,Calibre 50,130322,3087670,23.69244,3.20649
9562,Panteón Rococó,151996,2058453,13.54272,2.67709
9563,El Bebeto,33021,334130,10.1184,2.4086
9564,A.B. Quintanilla III Y Los Kumbia Kings,64598,758295,11.73849,2.54462
9565,Los Tigres Del Norte,247122,4833689,19.55985,3.02334
9566,Banda El Recodo De Cruz Lizárraga,9681,106154,10.96405,2.4819
9567,La Sonora Santanera,101234,1031156,10.18576,2.41464
9568,El Poder Del Norte,55592,439391,7.90371,2.18646
9569,Grupo Firme,128476,3105780,24.17382,3.2258
9570,El Chapo De Sinaloa,127981,1017574,7.95091,2.19175
9571,Rebecca Ferguson,235421,3369603,14.31303,2.7287
9572,Human Nature,50196,352903,7.03036,2.08322
9573,Nerina Pallot,318857,3634031,11.39701,2.51745
9574,John Farnham,305563,2477448,8.10778,2.20912
9575,King Clave,25202,116770,4.63317,1.72867
9576,Los Angeles Negros,136958,1513939,11.05395,2.48939
9577,Liberación,41648,433350,10.40481,2.43403
9578,Los Caminantes,46346,495589,10.69301,2.45899
9579,Los Apson,41748,308931,7.39972,2.12819
9580,Los Mier,33950,248627,7.32311,2.11903
9581,Ramon Ayala Y Sus Bravos Del Norte,68353,1143973,16.736,2.87559
9582,Roberto Jordan,43861,259663,5.91999,1.93441
9583,Aaron Carter,229614,1578765,6.8757,2.06378
9584,O-Town,177937,1330547,7.47758,2.13742
9585,Jump5,67237,603299,8.97258,2.29983
9586,Miguel Mateos,86475,703092,8.13048,2.21161
9587,Fobia,186878,3726747,19.94203,3.04175
9588,El Gran Silencio,131234,1425335,10.86093,2.47324
9589,Jaguares,176925,2300339,13.0017,2.63917
9590,Zoé,390057,19933638,51.10429,3.95324
9591,Enanitos Verdes,261294,3443588,13.17892,2.65175
9592,El Tri,131883,1519943,11.52484,2.52771
9593,Vilma Palma E Vampiros,148056,1774423,11.98472,2.56377
9594,Control Machete,174097,2532156,14.54442,2.7437
9595,Enrique Bunbury,186734,6302716,33.75219,3.54824
9596,Caifanes,339423,11874682,34.9848,3.58309
9597,Plastilina Mosh,202809,3498951,17.25235,2.90429
9598,Los Amantes De Lola,52446,359950,6.86311,2.06218
9599,Kinky,230509,3189110,13.83501,2.69698
9600,Luxúria,53546,1002732,18.7262,2.98194
9601,Jorge Vercillo,175622,3408975,19.41075,3.01606
9602,Paula Fernandes,146724,3425821,23.34858,3.19247
9603,Banda Eva,166386,2426178,14.58153,2.74608
9604,Cássia Eller,529650,14421530,27.22836,3.34032
9605,Cogumelo Plutão,29547,185377,6.27375,1.98427
9606,Liah,16757,217653,12.988,2.63819
9607,Hello Seahorse!,104960,2675981,25.495,3.27695
9608,Volován,49996,538298,10.7666,2.46526
9609,Tessa Ia,27808,492745,17.7189,2.92953
9610,Natalia y La Forquetina,59762,590116,9.87427,2.38639
9611,Alex Anwandter,64976,3058301,47.06743,3.8726
9612,Dënver,65036,2634487,40.50751,3.72587
9613,Sailorfag,29288,480515,16.40598,2.85681
9614,José Madero,37874,3384409,89.35733,4.50377
9615,Quiero Club,52167,700179,13.42161,2.66872
9616,Lila Downs,206530,2840128,13.75158,2.69135
9617,Sixpence None the Richer,1915486,22841998,11.9249,2.55915
9618,Meredith Brooks,574961,3303726,5.74599,1.90894
9619,Heather Nova,435478,5065511,11.63204,2.53623
9620,Garbage,2025455,61032167,30.13255,3.43825
9621,Suzanne Vega,1153610,14632304,12.68391,2.61622
9622,The Cardigans,3048403,68098952,22.33921,3.15013
9623,Joan Osborne,630050,4724336,7.49833,2.13986
9624,Chantal Kreviazuk,295794,2596877,8.77931,2.28026
9625,Donna Lewis,322284,2286352,7.09419,2.09114
9626,Lighthouse Family,515187,5391684,10.46546,2.43933
9627,Billie Myers,134042,771879,5.75844,1.91079
9628,"RBD, Anahí, Dulce María, Maite Perroni, Christian Chávez, Christopher von Uckermann, Alfonso Herrera",9797,394184,40.23106,3.71919
9629,KLB,47237,508140,10.75701,2.46444
9630,Tarkan,309059,6569340,21.25587,3.1026
9631,Виа Гра,115600,2452114,21.21187,3.10062
9632,Danza Invisible,57324,420156,7.32936,2.11978
9633,Tino Casal,34472,289719,8.40422,2.24115
9634,Gabinete Caligari,43900,374324,8.52654,2.25408
9635,Julión Álvarez Y Su Norteño Banda,102089,3428121,33.5794,3.54325
9636,Kumbia Kings,85623,452524,5.28501,1.83816
9637,Carlos Vives & Shakira,9177,88976,9.69448,2.36972
9638,"Anitta, Maluma",5470,25855,4.72582,1.74498
9639,Eme15,6055,113830,18.79623,2.98549
9640,Jenny And The Mexicats,50573,537613,10.63022,2.4536
9641,Ekhymosis,45837,328932,7.17596,2.10119
9642,Aterciopelados,272527,3714699,13.63052,2.6831
9643,Grupo Niche,229887,2843059,12.36714,2.59279
9644,Joe Arroyo,203236,1770480,8.7114,2.2733
9645,Proyecto Uno,116840,716390,6.13132,1.96449
9646,Los Amigos Invisibles,245998,4524312,18.39158,2.96483
9647,Elvis Crespo,422610,3016600,7.138,2.09654
9648,Guayacán Orquesta,69510,564561,8.12189,2.21067
9649,Bachelor Girl,28032,226588,8.0829,2.20639
9650,Sarah Blasko,249240,4211474,16.89719,2.88464
9651,Christine Anu,16217,102352,6.31101,1.98938
9652,Merril Bainbridge,32836,215576,6.56503,2.02353
9653,Grupo Cañaveral De Humberto Pabón,82788,611797,7.38983,2.12702
9654,Little Jesus,127774,3531902,27.64157,3.35485
9655,Mercurio,15739,117611,7.4721,2.13677
9656,Espinoza Paz,94721,1129072,11.91984,2.55876
9657,Rebeca,24187,154479,6.38659,1.99966
9658,Elastinen,74013,2550993,34.46635,3.56858
9659,Tommy Cash,219467,4090378,18.63769,2.97745
9660,Gasellit,28838,2147944,74.48052,4.32387
9661,Kaija Koo,63954,2862036,44.75077,3.8232
9662,Teflon Brothers,47669,2415278,50.66662,3.94481
9663,Gettomasa,27814,2801418,100.71608,4.62218
9664,Olavi Uusivirta,59470,3403014,57.2214,4.06425
9665,Anssi Kela,57643,1920441,33.31554,3.53559
9666,Cheek,100498,5483019,54.55794,4.01742
9667,Stig,38164,1047927,27.4578,3.34842
9668,Maija Vilkkumaa,63761,2859890,44.85257,3.82543
9669,Happoradio,84693,3459480,40.84681,3.73401
9670,Petri Nygård,60303,2177219,36.10405,3.61372
9671,Eppu Normaali,88913,6646500,74.752,4.32746
9672,Pehmoaino,18240,1449201,79.44745,4.3876
9673,Anna Puu,56319,2162513,38.39689,3.67368
9674,Tiktak,70783,1828916,25.83798,3.28981
9675,Pyhimys,45816,5203900,113.58011,4.74127
9676,Vesterinen yhtyeineen,18529,517020,27.90178,3.3639
9677,Evelina,28400,1175005,41.37195,3.74648
9678,Samuli Putro,35953,1847260,51.37842,3.95849
9679,Poju,28582,485628,16.99009,2.88982
9680,Juha Tapio,48035,1921374,39.99862,3.71353
9681,Arppa,28684,1209446,42.16301,3.76498
9682,Popeda,68913,2819159,40.90836,3.73548
9683,Suvi Teräsniska,31460,1286832,40.90245,3.73534
9684,Tehosekoitin,70628,2932869,41.52499,3.75009
9685,Ruusut,25553,1518453,59.42134,4.10134
9686,CMX,103244,10239603,99.17771,4.60694
9687,Lauri Tähkä,30438,705860,23.18932,3.18591
9688,Etta,42231,600158,14.21097,2.72201
9689,J. Karjalainen,60749,2288838,37.67634,3.65522
9690,Maustetytöt,25287,1391761,55.03642,4.026
9691,Dingo,95992,2294098,23.89859,3.21481
9692,Kotiteollisuus,113679,8406921,73.9525,4.31685
9693,Eline Noelia,6952,122451,17.61124,2.92376
9694,Eline Thorp,4834,79216,16.38386,2.85554
9695,Oda Gondrosen,4197,35847,8.53906,2.25539
9696,Eli Kristin Hanssveen,1759,7253,4.12102,1.63335
9697,Sofie Fjellvang,3197,38513,12.04283,2.56823
9698,Fredrik Halland,2110,9611,4.55281,1.7143
9699,Mathilde SPZ,2635,16946,6.42867,2.00534
9700,Mari Bølla,2806,25818,9.19771,2.32216
9701,Elsa & Emilie,77159,796960,10.32866,2.42733
9702,Kate Gulbrandsen,2916,19127,6.55707,2.02248
9703,Maria Mohn,3780,30735,8.1288,2.21143
9704,northkid,6148,63003,10.24605,2.42001
9705,Bjørn Olav Edvardsen,1690,6723,3.97575,1.60457
9706,Kim Wigaard,3456,18109,5.23835,1.83071
9707,Jowst,25151,224099,8.90978,2.29352
9708,Anna-Lisa Kumoji,2725,21217,7.78319,2.17283
9709,Mia Negovetić,1896,32749,17.26357,2.9049
9710,Frode Vassel,2424,14339,5.91298,1.9334
9711,Rasmus Thall,3697,39947,10.80232,2.46829
9712,Mørland,15842,207319,13.08584,2.64517
9713,IMERIKA,6222,74299,11.93941,2.56027
9714,Vilde,21264,140141,6.59021,2.02685
9715,Daniel Lukas,2337,27508,11.76561,2.54675
9716,Petr Kalandra,7964,99973,12.55153,2.60649
9717,Freya Skye,10426,149427,14.33077,2.72986
9718,Kadiatou,20781,190595,9.17115,2.31955
9719,Resa Saffa Park,17358,207537,11.95558,2.56152
9720,Farida,20189,120766,5.98147,1.94325
9721,Thomas Jenssen,2099,10786,5.13619,1.8142
9722,Vidar Villa,19614,303609,15.4784,2.80205
9723,Mistra,2246,8846,3.9368,1.59671
9724,Metteson,13720,198243,14.44814,2.73748
9725,Freddy Kalas,54647,786019,14.3833,2.73328
9726,Rafa ela,1411,11604,8.21813,2.22117
9727,"Super Rob, Erika Norwich",332,3620,10.87087,2.47408
9728,Zoé Clauzure,3607,62240,17.25055,2.90419
9729,"Käärijä, Erika Vikman",820,15453,18.82216,2.9868
9730,Laura Voutilainen,26019,405911,15.59996,2.8094
9731,Genzie,27557,743139,26.96636,3.331
9732,Kaizers Orchestra,174308,11265927,64.63192,4.18406
9733,Garmarna,141467,3169842,22.40677,3.15302
9734,vamp,72057,1138391,15.79825,2.82127
9735,Lumsk,73822,1698921,23.01343,3.17861
9736,Seigmen,57286,1758171,30.69057,3.45601
9737,Wardruna,223191,14117499,63.25271,4.16282
9738,Vǫluspá,15576,92012,5.90691,1.93252
9739,deLillos,58346,1524874,26.13457,3.3008
9740,Hedningarna,57984,1735613,29.9321,3.43179
9741,Kari Rueslåtten,22827,926117,40.56934,3.72736
9742,Ivar Bjørnson & Einar Selvik,43827,825805,18.84195,2.98779
9743,Jokke & Valentinerne,39170,1918593,48.97993,3.91162
9744,Schandmaul,166985,12503089,74.87507,4.32908
9745,Raga Rockers,41589,1210576,29.10738,3.40477
9746,DumDum Boys,61660,1383238,22.43294,3.15414
9747,KarPe,38021,3667998,96.47041,4.57954
9748,Skambankt,48142,1524427,31.66456,3.48629
9749,The Hu,240028,4077402,16.98712,2.88965
9750,Einar Selvik,47224,676875,14.33298,2.73
9751,Feuerschwanz,99924,3642279,36.45012,3.623
9752,Fejd,68768,1300833,18.91597,2.99152
9753,Лея,4770,64464,13.51163,2.67495
9754,Susanne Sundfør,311013,10178075,32.72545,3.51825
9755,Sivert Høyem,89909,1854251,20.62341,3.07377
9756,Rúnahild,17731,217521,12.26714,2.58529
9757,Spidergawd,38721,717061,18.51818,2.97134
9758,Mari Boine,117552,1292273,10.9931,2.48433
9759,Moddi,99706,1697025,17.02011,2.89148
9760,Marit Larsen,168809,2778847,16.46138,2.85999
9761,Madrugada,260073,8771586,33.72726,3.54752
9762,Fay Wildhagen,51563,531400,10.30563,2.4253
9763,Helisir,18301,134744,7.36225,2.12372
9764,Woven Hand,160682,6298682,39.19942,3.69385
9765,Honningbarna,54582,1993547,36.52322,3.62495
9766,22,54612,539540,9.87933,2.38686
9767,Dima Bilan,80649,1328051,16.46684,2.8603
9768,Roxie Węgiel,19206,245317,12.77227,2.62265
9769,Bletka,13916,185098,13.30013,2.66026
9770,Grzegorz Hyży,27661,304198,10.99696,2.48465
9771,Gromee,66031,664621,10.06513,2.40379
9772,Michał Szczygieł,24131,265044,10.98309,2.48349
9773,Kleks,29003,493928,17.02965,2.89201
9774,Feel,123995,1496680,12.07038,2.57034
9775,Video,93997,1990797,21.17914,3.09915
9776,zalia,24109,564973,23.43313,3.19593
9777,Jula,35724,599388,16.77783,2.87795
9778,Męskie Granie Orkiestra,62330,1757822,28.2014,3.37421
9779,Sobel,67918,5168852,76.10318,4.34514
9780,Kizo,69046,5517219,79.90526,4.39327
9781,Honey,51609,440972,8.54431,2.25594
9782,Emelie Hollow,24102,263168,10.91847,2.47808
9783,Karen Harding,157616,1092571,6.9318,2.07087
9784,Donkeyboy,168839,3372840,19.97654,3.0434
9785,Broiler,147067,2062410,14.02351,2.70961
9786,CLMD,121215,926150,7.64049,2.15645
9787,Synne Vo,11510,279198,24.25488,3.22901
9788,Emilie Nicolas,86112,1347769,15.65116,2.81247
9789,Hanne Mjøen,38819,210328,5.41803,1.85911
9790,Emily Vaughn,117867,976308,8.28306,2.22819
9791,Mind Enterprises,49769,313148,6.2919,1.98676
9792,Famadihana,4564,25030,5.48302,1.86918
9793,The Best of Italian Pop Songs,1931,26347,13.63716,2.68356
9794,The New Synthesizer Experience,5250,30803,5.86612,1.92659
9795,Банд'эрос,80561,1046626,12.99155,2.63845
9796,Cliff Wedge,4245,29248,6.88836,2.06538
9797,John Stephan,1290,3062,2.3718,1.21544
9798,80' Factory,3493,13495,3.86233,1.58151
9799,James Major,4871,18895,3.87828,1.58479
9800,The Bobby Fuller Four,205433,1320691,6.42878,2.00536
9801,Lee Matthews,3182,23670,7.43638,2.13255
9802,Favorite Star,11094,35952,3.24037,1.44465
9803,Иван Купала,35900,541623,15.08657,2.77798
9804,Gipsy Hits,497,1747,3.50803,1.50586
9805,Fisun,4774,33432,7.00146,2.07962
9806,Gangsta's Paradise,7438,25083,3.37182,1.47517
9807,PPK,163717,1124057,6.86581,2.06252
9808,Matteo Marini,9564,49774,5.20376,1.82515
9809,Countdown Singers,22366,107840,4.82138,1.76153
9810,Russian State Symphony Orchestra Of Cinematography,4648,21280,4.57732,1.7187
9811,Symphony Orchestra of the Russian State TV & Radio Centre,9951,40345,4.05395,1.62017
9812,The Italians,22228,132210,5.94763,1.9384
9813,Dj Viktor P,1288,6999,5.42979,1.86094
9814,Ferris Wheels,5579,35064,6.28387,1.98566
9815,Eddy Huntington,40273,233207,5.79051,1.91552
9816,Zodiac,53396,621390,11.63717,2.53664
9817,Mike Mareen,36101,280177,7.7607,2.17027
9818,Baltimora,336036,1868557,5.56056,1.88107
9819,Digital Emotion,39010,271339,6.95544,2.07385
9820,Alphaville,1492546,18491755,12.38939,2.59446
9821,The Flirts,84896,596381,7.02475,2.08253
9822,Chris Isaak,1594865,22833574,14.31692,2.72895
9823,Grant Miller,25272,176808,6.99592,2.07893
9824,Baby's Gang,23084,131896,5.71349,1.90411
9825,Joy Peters,21485,112395,5.23108,1.82954
9826,John Parr,241724,1550016,6.41231,2.00314
9827,Michael Bedford,18196,114797,6.30856,1.98904
9828,Игорь Тальков,64195,848432,13.21627,2.65438
9829,Кар-Мэн,36363,455989,12.53957,2.60561
9830,Freddie Mercury,707024,7951206,11.246,2.50519
9831,Laban,22941,217934,9.49934,2.35131
9832,Сергей Минаев,10995,145510,13.23299,2.65556
9833,Robin Gibb,96023,781319,8.1367,2.21229
9834,Peter Schilling,405146,3485862,8.60394,2.26217
9835,Mike & The Mechanics,486479,4186642,8.60598,2.26238
9836,Video Kids,18148,93828,5.16987,1.81967
9837,Al Corley,39321,235305,5.98405,1.94362
9838,Patrick Hernandez,288246,1382248,4.79535,1.75705
9839,Village People,907793,5487506,6.04488,1.9523
9840,Tina Charles,166935,833016,4.99003,1.79009
9841,Gibson Brothers,75530,324887,4.30137,1.66796
9842,Amanda Lear,132038,1111194,8.41564,2.24237
9843,The Rubettes,152705,882026,5.77597,1.91338
9844,Supermax,63867,525062,8.22104,2.22148
9845,Amii Stewart,190225,872944,4.58898,1.72079
9846,John Paul Young,181457,767995,4.23235,1.65486
9847,Middle Of The Road,129683,764342,5.89388,1.93063
9848,Boys Town Gang,127357,762735,5.9889,1.94432
9849,The Weather Girls,610040,2940073,4.81946,1.7612
9850,Début de Soirée,30267,160696,5.3091,1.84199
9851,Pussycat,66577,481039,7.22519,2.1072
9852,Aneka,107268,572177,5.33403,1.84593
9853,Hot Chocolate,795026,5029700,6.32645,1.99149
9854,Didier Marouani,10972,108260,9.86603,2.38564
9855,Ultranoire,3543,55395,15.63064,2.81124
9856,Hubert Kah,96019,823430,8.5756,2.25921
9857,Alexander Pierce,6550,65952,10.06747,2.40401
9858,Cretu & Thiers,6114,45622,7.46067,2.13542
9859,Camouflage,299640,4031631,13.45487,2.67103
9860,группа Форум,4110,21538,5.23911,1.83083
9861,Yello,487965,7725209,15.83144,2.82324
9862,Dee D. Jackson,24528,176028,7.17632,2.10124
9863,Технология,43028,674873,15.68414,2.81445
9864,Michael Cretu,62977,480560,7.6306,2.15531
9865,FHE,5865,57883,9.86754,2.38578
9866,Yaki-Da,38387,281781,7.34034,2.1211
9867,Электроклуб,9089,77548,8.53113,2.25456
9868,Planet P Project,16218,256125,15.79166,2.82088
9869,Moti Special,13239,86925,6.56533,2.02357
9870,The Twins,57944,465248,8.02913,2.20045
9871,Jude Cole,14940,138169,9.24764,2.32704
9872,Michael Learns to Rock,209059,3133578,14.98889,2.77189
9873,Виктор Салтыков,14395,97637,6.78223,2.05184
9874,Bertie Higgins,62423,311552,4.9909,1.79024
9875,Крис Кельми,13376,66665,4.98355,1.78901
9876,Black,385308,2893806,7.51035,2.14128
9877,Status Quo,842665,11156504,13.23953,2.65602
9878,Rod Stewart,1942547,26999449,13.89898,2.70129
9879,Leo Sayer,447657,2814690,6.28759,1.98617
9880,Alannah Myles,497527,3517604,7.07016,2.08817
9881,Sam Brown,177820,1075215,6.04661,1.95254
9882,Marty Balin,33508,177940,5.31021,1.84216
9883,Вадим Казаченко,9428,95596,10.1385,2.4104
9884,Комбинация,40399,403042,9.97628,2.39573
9885,Dave Stewart,79619,512278,6.43403,2.00606
9886,Mick Jagger,395687,3174121,8.02177,2.19964
9887,Евгений Мартынов,4286,30580,7.13319,2.09595
9888,Bee Gees,3004313,55937916,18.61919,2.9765
9889,Christie,100873,471275,4.67191,1.73552
9890,Lobo,217211,1375596,6.33296,1.99237
9891,Albert Hammond,399986,2757386,6.89368,2.06606
9892,B.J. Thomas,470767,2883182,6.12442,1.96352
9893,Жасмин,14511,164779,11.35467,2.51403
9894,Bay City Rollers,249774,1654482,6.62388,2.03128
9895,Les Humphries Singers,58195,350554,6.02367,1.94928
9896,Ярослав Сумишевский,2063,31989,15.49854,2.80327
9897,Pop Tops,18611,73257,3.936,1.59655
9898,Karel Gott,72838,881296,12.09923,2.57255
9899,МакSим,120266,3246408,26.99333,3.33196
9900,Andy Gibb,188707,1629723,8.63621,2.26552
9901,Elton John,4562424,130902012,28.69132,3.39085
9902,Sonja Bishop,1249,7104,5.6832,1.89959
9903,Андрей Бандера,15788,150048,9.50332,2.35169
9904,Александр Буйнов,8557,59308,6.93012,2.07066
9905,Поющие гитары,18556,128812,6.94142,2.07209
9906,Инна Маликова & Новые Самоцветы,10917,73610,6.74207,2.04666
9907,Salvatore Adamo,123369,1031453,8.36064,2.23651
9908,"ВИА «Лейся, Песня!»",3063,18468,6.02741,1.94981
9909,Рождество,16872,152187,9.01955,2.30453
9910,Олег Митяев,19029,498327,26.18638,3.30271
9911,Игорь Крутой,11301,163327,14.45115,2.73768
9912,Песняры,24606,259961,10.56451,2.44794
9913,Владимир Кузьмин,33749,553515,16.40044,2.85649
9914,Стас Намин и группа «Цветы»,4605,30673,6.65935,2.03592
9915,Heath Hunter & The Pleasure Company,8153,51209,6.28023,1.98516
9916,Heath Hunter,16239,79750,4.91071,1.77676
9917,Чи-Ли,54710,646159,11.8104,2.55025
9918,Nazareth,851798,10631936,12.48174,2.60133
9919,Slade,681386,7012081,10.29089,2.42399
9920,Suzi Quatro,319144,3037092,9.51633,2.35292
9921,Uriah Heep,743333,14549965,19.57392,3.02402
9922,Geordie,49486,424399,8.57596,2.25925
9923,Машина времени,135565,4546614,33.53801,3.54206
9924,Sweet,895924,8867675,9.89778,2.38855
9925,Omega,284819,3047490,10.6997,2.45956
9926,Shocking Blue,512175,5934631,11.58709,2.53267
9927,Воскресение,60191,938396,15.59004,2.8088
9928,Manfred Mann's Earth Band,458698,4250497,9.26641,2.32887
9929,Ken Hensley,31443,438843,13.95633,2.70513
9930,Neil Diamond,1389698,16190825,11.65059,2.5377
9931,Terry Jacks,187723,983827,5.24081,1.8311
9932,Земляне,33003,226171,6.85283,2.06087
9933,MUD,384757,1711142,4.44732,1.69512
9934,Foreigner,2003939,25644934,12.79725,2.62446
9935,Dr. Hook,440274,3849336,8.74302,2.27655
9936,The Tremeloes,229394,1270081,5.53665,1.87742
9937,Racey,63196,306470,4.84943,1.76634
9938,Herman's Hermits,500882,4107907,8.20133,2.21934
9939,Scorpions,2432438,72838875,29.94478,3.4322
9940,Electric Light Orchestra,2595186,62282446,23.99921,3.21884
9941,Ian Gillan,115364,971472,8.42085,2.24292
9942,The Shadows,378799,3970344,10.48137,2.44072
9943,10cc,1238924,13125159,10.59398,2.45048
9944,Rainbow,1267069,27898652,22.01824,3.13628
9945,The Hooters,288107,2772173,9.62199,2.36292
9946,The Searchers,358123,2303030,6.43081,2.00563
9947,Mungo Jerry,480263,2541542,5.29196,1.83927
9948,Del Shannon,519605,3812810,7.33788,2.1208
9949,Deep Purple,2710157,70068039,25.85385,3.2904
9950,John Fogerty,424985,4407609,10.37118,2.43108
9951,Sailor,77529,434250,5.60105,1.88722
9952,Led Zepagain,222882,1050920,4.71511,1.74311
9953,Harpo,81131,430423,5.30521,1.84137
9954,George Baker Selection,375256,2369228,6.31361,1.98973
9955,Bryan Adams,2597939,42742520,16.45246,2.85948
9956,Ringo Starr,658193,5740208,8.72114,2.2743
9957,The Swinging Blue Jeans,178557,881884,4.93892,1.78152
9958,Chicago,1531157,20512860,13.39695,2.66701
9959,The Hollies,1334830,12717470,9.5274,2.35398
9960,Bad Company,918560,10591268,11.53028,2.52814
9961,Manfred Mann,489137,3359244,6.86768,2.06276
9962,Dire Straits,3039657,90798766,29.87137,3.42982
9963,Kingdom Come,157290,2585883,16.44012,2.85877
9964,Chris Norman & Suzi Quatro,28403,126637,4.45842,1.69715
9965,Sniff 'n' the Tears,152593,938289,6.14892,1.96696
9966,Creedence Clearwater Revival,3630515,101640261,27.99609,3.36716
9967,Eagles,3398183,66536624,19.58005,3.02432
9968,Whitesnake,1498804,27238388,18.1734,2.95352
9969,Budka Suflera,140219,4108680,29.30166,3.4112
9970,Showaddywaddy,81236,542832,6.68207,2.03888
9971,Golden Earring,596870,6137307,10.28246,2.42324
9972,Supertramp,1891988,38248753,20.21616,3.05476
9973,Anita Ward,288688,1256521,4.3525,1.67756
9974,Santa Esmeralda,341770,1779079,5.20547,1.82543
9975,Clout,46364,288814,6.22913,1.97811
9976,Silver Convention,103733,484240,4.66809,1.73485
9977,Thelma Houston,266664,1216251,4.56096,1.71577
9978,The Three Degrees,203992,1105046,5.41707,1.85896
9979,The Trammps,444190,2263870,5.09661,1.80773
9980,Andrea True Connection,150530,678111,4.50479,1.70561
9981,George McCrae,296455,1521384,5.1319,1.8135
9982,Yvonne Elliman,244304,1342817,5.49647,1.87125
9983,Alicia Bridges,118488,516633,4.36017,1.67899
9984,Tavares,313833,1674838,5.3367,1.84635
9985,The Hues Corporation,45445,170193,3.74495,1.55708
9986,Roger Meno,9886,54990,5.56184,1.88127
9987,Scotch,79670,945074,11.8622,2.55429
9988,Miko Mission,36668,218428,5.95674,1.93971
9989,Koto,60893,787802,12.93726,2.63456
9990,K.b. Caps,13078,76769,5.86963,1.92711
9991,Albert One,24044,140099,5.82653,1.92081
9992,Max Him,17935,120397,6.71258,2.04285
9993,Danuta,7230,32200,4.45304,1.69617
9994,Linda Jo Rizzo,15202,90624,5.96092,1.94031
9995,Split Mirrors,4531,39802,8.78243,2.28058
9996,U.D.O.,185537,4857043,26.17815,3.30241
9997,Mirko Hirsch,4733,90655,19.14976,3.00319
9998,Cliff Turner,8095,34821,4.30101,1.66789
9999,Roxanne,13923,92977,6.67746,2.03828
10000,Laserdance,27406,447286,16.32013,2.85186
10001,Женя Белоусов,12954,86681,6.69093,2.04004
10002,Bonfire,112397,1822435,16.21412,2.84572
10003,Romantic Avenue,1680,14260,8.48304,2.2495
10004,Trans-X,100634,575581,5.71949,1.90501
10005,Italove,9705,131554,13.55388,2.67785
10006,Lime,84705,698617,8.24755,2.22435
10007,Fred Ventura,25938,164750,6.35143,1.99489
10008,Gilla,12979,84826,6.53513,2.01957
10009,Лев Лещенко,23860,149654,6.2719,1.98401
10010,Татьяна Анциферова,9655,69655,7.21364,2.10579
10011,Жанна Рождественская,8325,32109,3.85647,1.58031
10012,BZN,24780,289521,11.68318,2.54027
10013,Barrabás,2962,14887,5.02429,1.79579
10014,Neoton Família,2179,38795,17.79587,2.93363
10015,Hot Butter,118341,621845,5.25464,1.83332
10016,Pilot,237983,1537099,6.45883,2.00939
10017,Минаева,13163,153620,11.6697,2.53921
10018,The Cats,47722,492655,10.32321,2.42685
10019,Татьяна Овсиенко,17711,165036,9.31775,2.33386
10020,Натали,44920,433347,9.64686,2.36526
10021,Круг,4771,32129,6.73281,2.04547
10022,Катя Лель,30977,243085,7.84702,2.18008
10023,AlimkhanOV A.,994,9843,9.89246,2.38807
10024,Маргарита Суханкина,2066,18638,9.01693,2.30427
10025,Нэнси,33726,344858,10.22498,2.41814
10026,Voyage voyage,2461,7213,2.92973,1.36857
10027,Дмитрий Маликов,38903,575114,14.7829,2.75892
10028,Комиссар,25959,374119,14.41136,2.7351
10029,Ivan,64485,394033,6.11036,1.96155
10030,Иракли,28472,270449,9.49843,2.35122
10031,Ирина Аллегрова,50556,564976,11.17503,2.49938
10032,Игорь Николаев,28079,215499,7.67446,2.16038
