ID,Nome,Ascoltatori,Ascolti,Popolarità,PopolaritàLog
13743,Evans Mark,25,74,2.84615,1.34707
13744,Gabriella Vainiglia,31,149,4.65625,1.73276
13745,Fabiana Vitiello,19,55,2.75,1.32175
13746,Giorgio Vanni & Sara Bernabini,114,663,5.76521,1.91179
13747,S Pozzoli,5948,34755,5.84215,1.9231
13748,Il Re Leone II,308,2260,7.31391,2.11793
13749,Bacalov Luis Enrique,306,1292,4.20846,1.65028
13750,Santi Pulvirenti,1378,7823,5.67295,1.89806
13751,Bruno Nicolai & Fiorenzo Carpi,18,115,6.05263,1.9534
13752,Giorgio Fabor,82,781,9.40963,2.34273
13753,Tosca e Fiorello,74,859,11.45333,2.52198
13754,Massimo Morante,5702,12833,2.25021,1.17871
13755,"Budy Maglione, Fabio Frizzi, Giorgio Tucci",2,66,22.0,3.13549
13756,"Franco Bixio, Fabio Frizzi, Vince Tempera",171,2202,12.80232,2.62483
13757,Barbara Vitali,396,2879,7.25188,2.11044
13758,Cristina Valenti,42,369,8.58139,2.25982
13759,Angela Finocchiaro,1395,14812,10.61031,2.45189
13760,Fabrizio Vidale,2544,20529,8.0664,2.20457
13761,Vallanzaska,15024,184440,12.27554,2.58592
13762,Pitura Freska,13016,166150,12.76407,2.62206
13763,Los Massadores,936,37704,40.23906,3.71938
13764,Matrioska,13158,182632,13.87886,2.69994
13765,Franchino,6192,30059,4.8537,1.76707
13766,Derozer,10339,139138,13.45628,2.67112
13767,Emanuela Cortesi,3114,24883,7.98812,2.1959
13768,Oreste Rizzini,531,1350,2.53759,1.26344
13769,Lalla Francia,2613,16020,6.12853,1.9641
13770,Neri Per Caso,27124,239176,8.81754,2.28417
13771,V Matteucci,1745,6984,4.0,1.60943
13772,M Cataldi,2051,9899,4.82407,1.76199
13773,Paola Repele,540,4105,7.5878,2.15034
13774,Carlo Ragone,1426,9218,6.4597,2.00951
13775,George Castiglia,2071,7696,3.71428,1.55059
13776,Augusto Giardino,4359,21804,5.00091,1.79191
13777,Manuela Villa,2321,12020,5.17657,1.82076
13778,Luca Ward,664,2534,3.81052,1.5708
13779,Carlo Lepore,1296,5618,4.33153,1.67363
13780,Corte Di Lunas,409,4789,11.68048,2.54006
13781,Après La Classe,24670,286922,11.62992,2.53606
13782,Il Parto delle Nuvole Pesanti,4637,59582,12.84648,2.62803
13783,Folkabbestia,3591,83451,23.23246,3.18769
13784,I Luf,1082,26831,24.77469,3.24939
13785,Rosa Balistreri,14930,90713,6.07548,1.95663
13786,De Sfroos,487,6839,14.01434,2.709
13787,Nuova Compagnia Di Canto Popolare,14162,107903,7.61865,2.15392
13788,Federico Salvatore,3136,27364,8.72298,2.27449
13789,Uncle Bard and the Dirty Bastards,2453,16313,6.64751,2.03438
13790,Gruppo Z,829,7825,9.42771,2.34446
13791,Canzoniere delle Lame,2158,18700,8.66141,2.26813
13792,Alfredo Bandelli,694,6263,9.01151,2.30373
13793,Gigione,2898,22705,7.83201,2.17838
13794,Augusto Martelli,19275,88657,4.59934,1.72264
13795,Dune Buggy Band,552,2624,4.74502,1.74833
13796,Marvin Berry And The Starlighters,15533,98973,6.37137,1.9976
13797,Nico Guzzi,5319,23698,4.45451,1.69644
13798,Savio Riccardi,1194,27962,23.39916,3.19454
13799,Michele Braga,3254,13969,4.29155,1.66611
13800,Sammy Barbot,2327,8682,3.72938,1.55379
13801,I Gatti di Vicolo Miracoli,1156,6958,6.01382,1.94788
13802,Il coro di Baldios,63,443,6.92187,2.06962
13803,HYRIDE,5643,11318,2.00531,1.10038
13804,Massimo Dorati & Gli Odeon Boys,443,1286,2.89639,1.36005
13805,Oreste Lionello,1870,9976,5.3319,1.8456
13806,LA BRIGATA DELLO ZOO,109,623,5.66363,1.89666
13807,La Banda Dei Cartoni,1658,7288,4.393,1.6851
13808,I Mini Robots,35,193,5.36111,1.8502
13809,Peter Rei,101,423,4.14705,1.63842
13810,Pepero,87,229,2.60227,1.28156
13811,Tony De Falco,1775,8585,4.83389,1.76368
13812,Superband,549,3119,5.6709,1.89775
13813,Tina Centi,1727,10289,5.95428,1.93935
13814,Rainbow Cartoon,1183,3477,2.93665,1.37033
13815,Lollipop,11192,82954,7.41123,2.12956
13816,Dari,14611,196698,13.4614,2.67148
13817,Lùna Pop,5038,52197,10.3586,2.42997
13818,Luca Napolitano,2577,45603,17.68929,2.92795
13819,Stefano Centomo,1615,9735,6.02413,1.94935
13820,Il Nucleo,4820,35968,7.46069,2.13543
13821,La Differenza,2011,9244,4.59443,1.72177
13822,xDiemondx,1881,37973,20.17693,3.05291
13823,IN6N,2048,36388,17.7589,2.93166
13824,oli?,659,6221,9.42575,2.34427
13825,GiorniTristi,320,4176,13.00934,2.63972
13826,AleXX iSt4R,1049,13727,13.07333,2.64428
13827,Fiks,2470,57723,23.36017,3.19294
13828,Gaia Riva,3623,19769,5.45502,1.86485
13829,Erredieffe,50,752,14.74509,2.75652
13830,Barbara Cola,287,2447,8.49652,2.25092
13831,Ginevra Di Marco,5848,72639,12.41904,2.59667
13832,Massimo Corvo,1449,4796,3.30758,1.46037
13833,Andrea Surdi,489,1781,3.63469,1.53356
13834,Melissa Ciaramella,428,1639,3.82051,1.57287
13835,Cast – Tim Burton’s Nightmare Before Christmas,587,3103,5.27721,1.83692
